ID,Jornada,Tela / etapa,Elemento,Texto atual,Texto recomendado,Decisão,Prioridade,Critério aplicado,Condição de exibição,Natureza,Arquivo-fonte
1,Resultado pós-teste,Cabeçalho,Título,Resultado,Resultado do teste,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
2,Resultado pós-teste,Cabeçalho,Acessibilidade,Voltar,Voltar,Manter,Baixa,Clareza e objetividade,Botão de navegação,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
3,Resultado pós-teste,Cabeçalho,Acessibilidade,Compartilhar PDF do resultado,Compartilhar resultado,Ajustar,Média,Clareza e objetividade,Botão de compartilhamento,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
4,Resultado pós-teste,Resumo,Título do veredito,{título da decisão do motor},{título da decisão do motor},Manter,Baixa,Clareza e objetividade,Quando o relatório contém uma decisão,Dinâmico determinístico,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
5,Resultado pós-teste,Resumo,Título de fallback,Resultado,Resultado do teste,Ajustar,Média,Clareza e objetividade,Quando não há título de decisão,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
6,Resultado pós-teste,Resumo,Mensagem do veredito,{mensagem para o usuário da decisão do motor},{mensagem para o usuário da decisão do motor},Manter,Baixa,Clareza e objetividade,Quando o relatório contém uma mensagem,Dinâmico determinístico,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
7,Resultado pós-teste,Rede,Chip,Teste realizado via Wi-Fi,Teste feito pelo Wi-Fi,Ajustar,Média,Clareza e objetividade,Conexão detectada como Wi-Fi,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
8,Resultado pós-teste,Rede,Chip,Teste realizado via rede móvel,Teste feito pela rede móvel,Ajustar,Média,Clareza e objetividade,Rede móvel sem tecnologia identificada,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
9,Resultado pós-teste,Rede,Chip,Teste realizado via 5G,Teste feito pelo 5G,Ajustar,Média,Clareza e objetividade,Tecnologia contém 5G,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
10,Resultado pós-teste,Rede,Chip,Teste realizado via 4G,Teste feito pelo 4G,Ajustar,Média,Clareza e objetividade,Tecnologia contém 4G ou LTE,Fixo condicionado,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
11,Resultado pós-teste,Métricas,Rótulo,Download,Velocidade de download,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
12,Resultado pós-teste,Métricas,Unidade,Mbps,Mbps,Manter,Baixa,Clareza e objetividade,Download e upload detectado,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
13,Resultado pós-teste,Métricas,Rótulo,Upload,Velocidade de upload,Ajustar,Média,Clareza e objetividade,Sempre,Fixo,android/app/src/main/kotlin/io/veloo/app/kotlin/ui/screen/ResultadoVelocidadeScreen.kt
